ID,Cassette No.,Date,Database,Station,Language,Length,Kinyarwanda transcript,Notes
K0113943-K0113946,43,03/07/1994,MIGS; Genocide Archives; ICTR,RTLM,French,4 pages,N/A,
K0198095-K0198109,45,05/06/1994,MIGS; ICTR,RTLM,English,15 Pages,K0206598-K0206609,
K0163937-K0163952,45,05/06/1994,ICTR,RTLM,French,15 Pages,K0206598-K0206609,
K0146208- K014622,47,02/03/1994,MIGS; ICTR,RTLM,English,18 Pages,K0163599-K0163628,
K0237778- K0237812,47,02/03/1994,MIGS; ICTR,RTLM,French,90 mins (35 pages),K0163599-K0163628,
K0146196-K0146207,49,14/04/1994,MIGS,Radio Rwanda,English,12 Pages ,N/A,
K0273546-K0273550,49,14/04/1994,MIGS,Radio Rwanda,French,Excerpts,N/A,
K0169791-K0169810,50,22/11/1992,Genocide Archives; ICTR,RTLM,French,90 mins (20 pages),K0206610-K0206626,
K0146175-K0146189,51,08/07/1993,MIGS; Genocide Archives; ICTR,RTLM,French,31.1 mins (15 pages) ,K0165148-K0165165,
K0236570-K0236598,58,09/04/1994,MIGS; Genocide Archives; ICTR,RTLM,English,60 mins (29 pages),K0221420-K0221442,
K0233322-K0233347,58,09/04/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (27 pages),K0221420-K0221442,
K0359886-K0359901,60,10/04/1994,MIGS,Radio Rwanda,English,16 Pages,K0165507-K0165531,
K0146083-K0146089,62,11/04/1994,MIGS,Radio Rwanda,French,60 mins (30 pages),K0165689-K0165712,
K0337648-K0337676,62,11/04/1994,MIGS,Radio Rwanda,English,Excerpts,K0165689-K0165712,
K0146074-K0146081,63,12/04/1994,MIGS,Radio Rwanda,English,Excerpts,K0206300-K0206325,
K0216052-K0216054,63,12/04/1994,MIGS,Radio Rwanda,French,Excerpts,K0206300-K0206325,
K0198256- K0198281,64,13/04/1994,MIGS; Genocide Archives; ICTR,RTLM,French,26 pages,K0165636-K0165663,
K0264687- K0264719,65,14/04/1994,MIGS; ICTR,Joint RTLM and RR,French,60 mins (33 pages),N/A,
K0111153-K0111166,65,14/04/1994,MIGS; Genocide Archives; ICTR,Joint RTLM and RR,English,14 Pages,N/A,
K0146035-K0146044,66,14-15/04/1994,MIGS,Radio Rwanda,French,10 pages,N/A,
K0385118-K0385138,66,14-15/04/1994,MIGS,Radio Rwanda,English,60 mins (21 pages) ,N/A,
K0336387-K0336394,69,14/04/1994,MIGS,Radio Rwanda,English,Excerpts,K0283560-K0283592,
K0344542-K0344572,69,14/04/1994,MIGS,Radio Rwanda,French,60 mins (31 pages),K0283560-K0283592,
K0263118-K0263134,70,15/04/1994,MIGS; Genocide Archives; ICTR,RTLM,English,90 mins (17 pages),K0165251-K0165275,
K0258583-K0258608,70,15/04/1994,Genocide Archives; ICTR,RTLM,French,90 mins (26 pages),K0165251-K0165275,
K0270805-K0270840,71,16/04/1994,MIGS,Radio Rwanda,English,60 mins (36 pages),K0283593-K0283621,
K0145970-K0145981,74,17/04/1994,MIGS,Radio Rwanda,English,12 Pages ,N/A,
K0273592-K0273623,77,19/04/1994,MIGS,Radio Rwanda,English,32 pages,K0168564-K0168591,
K0273554-K023591,77,19/04/1994,MIGS,Radio Rwanda,French,38 pages,K0168564-K0168591,
K0332893-K0332912,79,21/04/1994,MIGS,Radio Rwanda,English,20 pages,K0205957-K0205990,Different cassette no. but is a translation on no. 0081
K0215548-K0215573,79,21/04/1994,MIGS,Radio Rwanda,French,26 pages,K0205957-K0205990,Different cassette no. but is a translation on no. 0081
K0398754-K0398773,81,22/04/1994,MIGS,Radio Rwanda,English,20 Pages,K0205957-K0205990,
K0248176-K0248203,84,10/06/1994,MIGS; Genocide Archives; ICTR,RTLM,English,28 pages,K0210791-K0210821,
K0205722-K0205739,84,10/06/1994,Genocide Archives; ICTR,RTLM,French,18 pages,K0210791-K0210821,
K0226840-K0226877,97,29/10/1993,MIGS; ICTR,RTLM,French,60 mins (37 pages),K0223923-K0223954,
K0166102-K0166115,101,12/12/1993,Genocide Archives; ICTR,RTLM,English,60 mins (14 pages),K0140076- K0140090,
K0341808-K0341822,103,17/04/1994,MIGS,Radio Rwanda,English,60 mins (15 pages),K0140091-K0140118,
K0335789-K0335813,103,17/04/1994,MIGS; ICTR,Radio Rwanda,French,60 mins (25 pages),K0140091-K0140118,
K0364130-K0364148,105,16-17/05/1994,MIGS,Radio Rwanda,English,19 pages ,K0147692-K0147723,
K0162857-K0162876,109,16/06/1994,MIGS; Genocide Archives; ICTR,RTLM,English,60 mins (20 pages),K0145740-K0145764,
K0163971-K0163998,109,16/06/1994,Genocide Archives; ICTR,RTLM,French,60 mins (28 pages) ,K0145740-K0145764,
K0146570-K0146597,110,13/06/1994,MIGS; Genocide Archives; ICTR,RTLM,French,18 Pages,K0216584-K0216606,
N/A,111,14/06/1994,MIGS; Genocide Archives; ICTR,RTLM,English,Excerpts,K0140200-K0140230,
K0146598-K0146673,111,14/06/1994,Genocide Archives; ICTR,RTLM,French,16 Pages,K0140200-K0140230,
K0146614-K0146628,113,09/06/1994,MIGS; Genocide Archives; ICTR,RTLM,French,15 Pages,K0210663-K0210682,
K0146629-K0146635,115,22/04/1994,MIGS; Genocide Archives; ICTR,RTLM,English,7 pages,N/A,
K0146636-K0146652 ,116,29-30/05/1994,MIGS; ICTR,RTLM,French,16 Pages,K0165326-K0165346,
